LAC_S2_IN_LS_22    03 1 09 03 02 03 13 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_23    03 1 09 03 02 03 14 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_24    03 1 09 03 02 03 15 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_25    03 1 09 03 03 03 00 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_26    03 1 09 03 03 03 01 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_27    03 1 09 03 03 03 02 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_28    03 1 09 03 03 03 03 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_29    03 1 09 03 03 03 04 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_30    03 1 09 03 03 03 05 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_31    03 1 09 03 03 03 06 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_32    03 1 09 03 03 03 07 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_33    03 1 09 03 03 03 08 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_34    03 1 09 03 03 03 09 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_35    03 1 09 03 03 03 10 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_36    03 1 09 03 03 03 11 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_37    03 1 09 03 03 03 12 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
LAC_S2_IN_LS_38    03 1 09 03 03 03 13 -1000.0   1.5   1.3   121.5   486.0  2550.0  2500.0
