R3S1STF2124 1 -31322 10 01 02 03 07 750.0 1.5 25.0 50.0 30.0 800.0 
R3S1AXF0102 1 -31111 10 01 02 03 08 750.0 1.5 25.0 50.0 30.0 800.0 
R3S1AXF0304 1 -31112 10 01 02 03 09 750.0 1.5 25.0 50.0 30.0 800.0 
R3S1AXF0506 1 -31113 10 01 02 03 10 750.0 1.5 25.0 50.0 30.0 800.0 
R3S1AXF0708 1 -31114 10 01 02 03 11 750.0 1.5 25.0 50.0 30.0 800.0 
R3S1AXF0912 1 -31211 10 01 02 03 12 750.0 1.5 25.0 50.0 30.0 800.0 
R3S1AXF1316 1 -31212 10 01 02 03 13 750.0 1.5 25.0 50.0 30.0 800.0 
R3S1AXF1720 1 31311 10 01 02 03 14 750.0 1.5 25.0 50.0 30.0 800.0 
R3S1AXF2124 1 -31312 10 01 02 03 15 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2STF0102 1 -32121 10 01 02 03 16 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2STF0204 1 -32122 10 01 02 03 17 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2STF0506 1 -32123 10 01 02 03 18 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2STF0708 1 -32124 10 01 02 03 19 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2STF0912 1 -32221 10 01 02 03 20 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2STF1316 1 -32222 10 01 02 03 21 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2STF1720 1 -32321 10 01 02 03 22 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2STF2124 1 -32322 10 01 02 03 23 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2AXF0102 1 -32111 10 01 03 03 00 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2AXF0304 1 -32112 10 01 03 03 01 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2AXF0506 1 -32113 10 01 03 03 02 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2AXF0708 1 -32114 10 01 03 03 03 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2AXF0912 1 -32211 10 01 03 03 04 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2AXF1316 1 -32212 10 01 03 03 05 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2AXF1720 1 -32311 10 01 03 03 06 750.0 1.5 25.0 50.0 30.0 800.0 
R3S2AXF2124 1 -32312 10 01 03 03 07 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6STF0102 1 -36121 10 01 03 03 08 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6STF0304 1 -36122 10 01 03 03 09 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6STF0506 1 -36123 10 01 03 03 10 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6STF0708 1 -36124 10 01 03 03 11 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6STF0912 1 -36221 10 01 03 03 12 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6STF1316 1 -36222 10 01 03 03 13 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6STF1720 1 -36321 10 01 03 03 14 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6STF2124 1 -36322 10 01 03 03 15 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6AXF0102 1 -36111 10 01 03 03 16 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6AXF0304 1 -36112 10 01 03 03 17 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6AXF0506 1 -36113 10 01 03 03 18 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6AXF0708 1 -36114 10 01 03 03 19 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6AXF0912 1 -36211 10 01 03 03 20 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6AXF1316 1 -36212 10 01 03 03 21 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6AXF1720 1 -36311 10 01 03 03 22 750.0 1.5 25.0 50.0 30.0 800.0 
R3S6AXF2124 1 -36312 10 01 03 03 23 750.0 1.5 25.0 50.0 30.0 800.0 
R2S1STS0001 1 21141 10 01 04 03 00 1400.0 1.5 25.0 50.0 30.0 1500.0 
