EC_S2_UI01   2  1  5  2   0  2    0    -1795    1.500   1.300    487.600    487.600  -2550.000  -2500.000 
EC_S2_UI02   2  1  5  2   0  2    1    -1848    1.500   1.300    488.700    488.700  -2550.000  -2500.000 
EC_S2_UI03   2  1  5  2   0  2    2    -1871    1.500   1.300    486.000    486.000  -2550.000  -2500.000 
EC_S2_UI04   2  1  5  2   0  2    3    -1851    1.500   1.300    483.100    483.100  -2550.000  -2500.000 
EC_S2_UI05   2  1  5  2   0  2    4    -1932    1.500   1.300    487.000    487.000  -2550.000  -2500.000 
EC_S2_UI06   2  1  5  2   0  2    5    -1947    1.500   1.300    488.700    488.700  -2550.000  -2500.000 
EC_S2_UI07   2  1  5  2   0  2    6    -1846    1.500   1.300    489.400    489.400  -2550.000  -2500.000 
EC_S2_UI08   2  1  5  2   0  2    7    -1878    1.500   1.300    487.300    487.300  -2550.000  -2500.000 
EC_S2_UI09   2  1  5  2   0  2    8    -1898    1.500   1.300    486.500    486.500  -2550.000  -2500.000 
EC_S2_UI10   2  1  5  2   0  2    9    -1713    1.500   1.300    486.800    486.800  -2550.000  -2500.000 
EC_S2_UI11   2  1  5  2   0  2   10    -1828    1.500   1.300    485.200    485.200  -2550.000  -2500.000 
EC_S2_UI12   2  1  5  2   0  2   11    -1780    1.500   1.300    487.900    487.900  -2550.000  -2500.000 
EC_S2_UI13   2  1  5  2   1  2    0    -1667    1.500   1.300    490.600    490.600  -2550.000  -2500.000 
EC_S2_UI14   2  1  5  2   1  2    1    -1812    1.500   1.300    487.800    487.800  -2550.000  -2500.000 
EC_S2_UI15   2  1  5  2   1  2    2    -1664    1.500   1.300    486.900    486.900  -2550.000  -2500.000 
EC_S2_UI16   2  1  5  2   1  2    3    -1770    1.500   1.300    490.700    490.700  -2550.000  -2500.000 
EC_S2_UI17   2  1  5  2   1  2    4    -1837    1.500   1.300    489.600    489.600  -2550.000  -2500.000 
EC_S2_UI18   2  1  5  2   1  2    5    -1876    1.500   1.300    486.500    486.500  -2550.000  -2500.000 
EC_S2_UI19   2  1  5  2   1  2    6    -1737    1.500   1.300    484.700    484.700  -2550.000  -2500.000 
EC_S2_UI20   2  1  5  2   1  2    7    -1664    1.500   1.300    492.000    492.000  -2550.000  -2500.000 
EC_S2_UI21   2  1  5  2   1  2    8    -1750    1.500   1.300    484.300    484.300  -2550.000  -2500.000 
EC_S2_UI22   2  1  5  2   1  2    9    -1778    1.500   1.300    488.100    488.100  -2550.000  -2500.000 
EC_S2_UI23   2  1  5  2   1  2   10    -1707    1.500   1.300    488.400    488.400  -2550.000  -2500.000 
EC_S2_UI24   2  1  5  2   1  2   11    -1872    1.500   1.300    485.100    485.100  -2550.000  -2500.000 
EC_S2_UI25   2  1  5  2   2  2    0    -1781    1.500   1.300    485.800    485.800  -2550.000  -2500.000 
EC_S2_UI26   2  1  5  2   2  2    1    -1763    1.500   1.300    492.000    492.000  -2550.000  -2500.000 
