pb_12                03 1 12 01 04 02 03  -000.0   1.5   1.3    61.5    61.5 -2550.0 -2500.0
pb_13                03 1 12 01 04 02 04  -000.0   1.5   1.3    61.5    61.5 -2550.0 -2500.0
pb_14                03 1 12 01 04 02 05  -000.0   1.5   1.3    61.5    61.5 -2550.0 -2500.0
pb_15                03 1 12 01 04 02 06  -000.0   1.5   1.3    61.5    61.5 -2550.0 -2500.0
pb_16                03 1 12 01 04 02 07  -000.0   1.5   1.3    61.5    61.5 -2550.0 -2500.0
AC_1                 04 1 12 01 00 02 00  -605.0   1.5   1.3    61.7    61.7 -2550.0 -2500.0
AC_2                 04 1 12 01 00 02 01  -650.0   1.5   1.3    61.7    61.7 -2550.0 -2500.0
AC_3                 04 1 12 01 00 02 02  -640.0   1.5   1.3    61.7    61.7 -2550.0 -2500.0
AC_4                 04 1 12 01 00 02 03  -640.0   1.5   1.3    61.7    61.7 -2550.0 -2500.0
ST_1_1               05 1 12 01 06 02 00    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_1_2               05 1 12 01 06 02 01    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_1_3               05 1 12 01 06 02 02    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_1_4               05 1 12 01 06 02 03    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_2_1               05 1 12 01 06 02 04    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_2_2               05 1 12 01 06 02 05    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_2_3               05 1 12 01 06 02 06    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_2_4               05 1 12 01 06 02 07    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_3_1               05 1 12 01 06 02 08    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_3_2               05 1 12 01 06 02 09    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_3_3               05 1 12 01 06 02 10    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_3_4               05 1 12 01 06 02 11    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_4_1               05 1 12 01 07 02 00    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_4_2               05 1 12 01 07 02 01    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_4_3               05 1 12 01 07 02 02    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_4_4               05 1 12 01 07 02 03    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_5_1               05 1 12 01 08 02 07    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_5_2               05 1 12 01 07 02 05    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_5_3               05 1 12 01 07 02 06    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_5_4               05 1 12 01 07 02 07    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_6_1               05 1 12 01 08 02 08    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_6_2               05 1 12 01 07 02 09    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_6_3               05 1 12 01 07 02 10    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
ST_6_4               05 1 12 01 07 02 11    -0.0   1.5   1.3    60.9   487.3 -2550.0 -2500.0
